date,origin_region,dest_region,estimated_travelers
2022-06-01,Jakarta,Jateng,1580
2022-06-02,Jakarta,Jateng,1238
2022-06-03,Jakarta,Jateng,1761
2022-06-04,Jakarta,Jateng,2058
2022-06-05,Jakarta,Jateng,1776
2022-06-06,Jakarta,Jateng,1359
2022-06-07,Jakarta,Jateng,1197
2022-06-08,Jakarta,Jateng,1393
2022-06-09,Jakarta,Jateng,1497
2022-06-10,Jakarta,Jateng,1768
2022-06-11,Jakarta,Jateng,2276
2022-06-12,Jakarta,Jateng,1551
2022-06-13,Jakarta,Jateng,1511
2022-06-14,Jakarta,Jateng,1285
2022-06-15,Jakarta,Jateng,1333
2022-06-16,Jakarta,Jateng,1353
2022-06-17,Jakarta,Jateng,1624
2022-06-18,Jakarta,Jateng,1663
2022-06-19,Jakarta,Jateng,1964
2022-06-20,Jakarta,Jateng,1444
2022-06-21,Jakarta,Jateng,1344
2022-06-22,Jakarta,Jateng,1316
2022-06-23,Jakarta,Jateng,1087
2022-06-24,Jakarta,Jateng,1560
2022-06-25,Jakarta,Jateng,1742
2022-06-26,Jakarta,Jateng,1353
2022-06-27,Jakarta,Jateng,1731
2022-06-28,Jakarta,Jateng,1370
2022-06-29,Jakarta,Jateng,1340
2022-06-30,Jakarta,Jateng,1342
2022-07-01,Jakarta,Jateng,1754
2022-07-02,Jakarta,Jateng,1519
2022-07-03,Jakarta,Jateng,1655
2022-07-04,Jakarta,Jateng,1352
2022-07-05,Jakarta,Jateng,1317
2022-07-06,Jakarta,Jateng,1169
2022-07-07,Jakarta,Jateng,1373
2022-07-08,Jakarta,Jateng,1797
2022-07-09,Jakarta,Jateng,1522
2022-07-10,Jakarta,Jateng,1795
2022-07-11,Jakarta,Jateng,1370
2022-07-12,Jakarta,Jateng,1266
2022-07-13,Jakarta,Jateng,986
2022-07-14,Jakarta,Jateng,1321
2022-07-15,Jakarta,Jateng,1755
2022-07-16,Jakarta,Jateng,1311
2022-07-17,Jakarta,Jateng,1316
2022-07-18,Jakarta,Jateng,1242
2022-07-19,Jakarta,Jateng,932
2022-07-20,Jakarta,Jateng,1073
2022-07-21,Jakarta,Jateng,1275
2022-07-22,Jakarta,Jateng,1561
2022-07-23,Jakarta,Jateng,1430
2022-07-24,Jakarta,Jateng,1452
2022-07-25,Jakarta,Jateng,1355
2022-07-26,Jakarta,Jateng,1183
2022-07-27,Jakarta,Jateng,1188
2022-07-28,Jakarta,Jateng,1030
2022-07-29,Jakarta,Jateng,1330
2022-07-30,Jakarta,Jateng,1864
2022-07-31,Jakarta,Jateng,1374
2022-08-01,Jakarta,Jateng,902
2022-08-02,Jakarta,Jateng,1271
2022-08-03,Jakarta,Jateng,1243
2022-08-04,Jakarta,Jateng,1347
2022-08-05,Jakarta,Jateng,1510
2022-08-06,Jakarta,Jateng,1298
2022-08-07,Jakarta,Jateng,1222
2022-08-08,Jakarta,Jateng,1179
2022-08-09,Jakarta,Jateng,1049
2022-08-10,Jakarta,Jateng,1147
2022-08-11,Jakarta,Jateng,1381
2022-08-12,Jakarta,Jateng,1364
2022-08-13,Jakarta,Jateng,1181
2022-08-14,Jakarta,Jateng,1410
2022-08-15,Jakarta,Jateng,1381
2022-08-16,Jakarta,Jateng,1169
2022-08-17,Jakarta,Jateng,945
2022-08-18,Jakarta,Jateng,1077
2022-08-19,Jakarta,Jateng,1703
2022-08-20,Jakarta,Jateng,1490
2022-08-21,Jakarta,Jateng,1533
2022-08-22,Jakarta,Jateng,937
2022-08-23,Jakarta,Jateng,1176
2022-08-24,Jakarta,Jateng,1101
2022-08-25,Jakarta,Jateng,1218
2022-08-26,Jakarta,Jateng,1280
2022-08-27,Jakarta,Jateng,1218
2022-08-28,Jakarta,Jateng,1341
2022-08-29,Jakarta,Jateng,1053
2022-08-30,Jakarta,Jateng,1185
2022-08-31,Jakarta,Jateng,986
2022-09-01,Jakarta,Jateng,1119
2022-09-02,Jakarta,Jateng,1466
2022-09-03,Jakarta,Jateng,1522
2022-09-04,Jakarta,Jateng,1736
2022-09-05,Jakarta,Jateng,1278
2022-09-06,Jakarta,Jateng,996
2022-09-07,Jakarta,Jateng,995
2022-09-08,Jakarta,Jateng,1157
2022-09-09,Jakarta,Jateng,1416
2022-09-10,Jakarta,Jateng,1287
2022-09-11,Jakarta,Jateng,1456
2022-09-12,Jakarta,Jateng,1009
2022-09-13,Jakarta,Jateng,1005
2022-09-14,Jakarta,Jateng,1162
2022-09-15,Jakarta,Jateng,1197
2022-09-16,Jakarta,Jateng,1768
2022-09-17,Jakarta,Jateng,1405
2022-09-18,Jakarta,Jateng,1364
2022-09-19,Jakarta,Jateng,1264
2022-09-20,Jakarta,Jateng,1016
2022-09-21,Jakarta,Jateng,1043
2022-09-22,Jakarta,Jateng,1195
2022-09-23,Jakarta,Jateng,1678
2022-09-24,Jakarta,Jateng,1251
2022-09-25,Jakarta,Jateng,1163
2022-09-26,Jakarta,Jateng,1269
2022-09-27,Jakarta,Jateng,960
2022-09-28,Jakarta,Jateng,1258
2022-09-29,Jakarta,Jateng,1180
2022-09-30,Jakarta,Jateng,1345
2022-10-01,Jakarta,Jateng,1468
2022-10-02,Jakarta,Jateng,1404
2022-10-03,Jakarta,Jateng,1095
2022-10-04,Jakarta,Jateng,926
2022-10-05,Jakarta,Jateng,1066
2022-10-06,Jakarta,Jateng,892
2022-10-07,Jakarta,Jateng,1330
2022-10-08,Jakarta,Jateng,1501
2022-10-09,Jakarta,Jateng,1369
2022-10-10,Jakarta,Jateng,994
2022-10-11,Jakarta,Jateng,1075
2022-10-12,Jakarta,Jateng,1130
2022-10-13,Jakarta,Jateng,1148
2022-10-14,Jakarta,Jateng,1525
2022-10-15,Jakarta,Jateng,1655
2022-10-16,Jakarta,Jateng,1481
2022-10-17,Jakarta,Jateng,1049
2022-10-18,Jakarta,Jateng,1114
2022-10-19,Jakarta,Jateng,1272
2022-10-20,Jakarta,Jateng,1130
2022-10-21,Jakarta,Jateng,1271
2022-10-22,Jakarta,Jateng,1471
2022-10-23,Jakarta,Jateng,1175
2022-10-24,Jakarta,Jateng,1253
2022-10-25,Jakarta,Jateng,912
2022-10-26,Jakarta,Jateng,903
2022-10-27,Jakarta,Jateng,1003
2022-10-28,Jakarta,Jateng,1254
2022-10-29,Jakarta,Jateng,998
2022-10-30,Jakarta,Jateng,1210
2022-10-31,Jakarta,Jateng,1112
2022-11-01,Jakarta,Jateng,1249
2022-11-02,Jakarta,Jateng,1209
2022-11-03,Jakarta,Jateng,1275
2022-11-04,Jakarta,Jateng,1249
2022-11-05,Jakarta,Jateng,983
2022-11-06,Jakarta,Jateng,1174
2022-11-07,Jakarta,Jateng,1072
2022-11-08,Jakarta,Jateng,1204
2022-11-09,Jakarta,Jateng,1219
2022-11-10,Jakarta,Jateng,1022
2022-11-11,Jakarta,Jateng,1326
2022-11-12,Jakarta,Jateng,1645
2022-11-13,Jakarta,Jateng,1556
2022-11-14,Jakarta,Jateng,1147
2022-11-15,Jakarta,Jateng,1199
2022-11-16,Jakarta,Jateng,1358
2022-11-17,Jakarta,Jateng,1060
2022-11-18,Jakarta,Jateng,1428
2022-11-19,Jakarta,Jateng,1578
2022-11-20,Jakarta,Jateng,1630
2022-11-21,Jakarta,Jateng,1064
2022-11-22,Jakarta,Jateng,1117
2022-11-23,Jakarta,Jateng,1328
2022-11-24,Jakarta,Jateng,1385
2022-11-25,Jakarta,Jateng,1300
2022-11-26,Jakarta,Jateng,1509
2022-11-27,Jakarta,Jateng,1149
2022-11-28,Jakarta,Jateng,1067
2022-11-29,Jakarta,Jateng,1166
2022-11-30,Jakarta,Jateng,1193
2022-12-01,Jakarta,Jateng,1111
2022-12-02,Jakarta,Jateng,1426
2022-12-03,Jakarta,Jateng,1237
2022-12-04,Jakarta,Jateng,1373
2022-12-05,Jakarta,Jateng,1353
2022-12-06,Jakarta,Jateng,1399
