date,route_id,trips,seats_available,tickets_sold,load_factor,cancelled
2022-06-01,R01,12,14616,10772.0,0.737,0
2022-06-02,R01,12,14616,12369.0,0.846,0
2022-06-03,R01,12,14616,14616.0,1.0,0
2022-06-04,R01,12,14616,14616.0,1.0,0
2022-06-05,R01,12,14616,14616.0,1.0,0
2022-06-06,R01,12,14616,13775.0,0.942,0
2022-06-07,R01,12,14616,12647.0,0.865,0
2022-06-08,R01,12,14616,10608.0,0.726,0
2022-06-09,R01,12,14616,13536.0,0.926,0
2022-06-10,R01,12,14616,14616.0,1.0,0
2022-06-11,R01,12,14616,14616.0,1.0,0
2022-06-12,R01,12,14616,14616.0,1.0,0
2022-06-13,R01,12,14616,12079.0,0.826,0
2022-06-14,R01,12,14616,13161.0,0.9,0
2022-06-15,R01,12,14616,12508.0,0.856,0
2022-06-16,R01,12,14616,14616.0,1.0,0
2022-06-17,R01,12,14616,13967.0,0.956,0
2022-06-18,R01,12,14616,14616.0,1.0,0
2022-06-19,R01,12,14616,,,0
2022-06-20,R01,12,14616,14156.0,0.969,0
2022-06-21,R01,12,14616,12983.0,0.888,0
2022-06-22,R01,12,14616,13619.0,0.932,0
2022-06-23,R01,12,14616,13584.0,0.929,0
2022-06-24,R01,12,14616,14616.0,1.0,0
2022-06-25,R01,12,14616,14616.0,1.0,0
2022-06-26,R01,12,14616,14616.0,1.0,0
2022-06-27,R01,12,14616,14616.0,1.0,0
2022-06-28,R01,12,14616,13212.0,0.904,0
2022-06-29,R01,12,14616,12528.0,0.857,0
2022-06-30,R01,12,14616,14544.0,0.995,0
2022-07-01,R01,12,14616,13844.0,0.947,0
2022-07-02,R01,12,14616,14616.0,1.0,0
2022-07-03,R01,12,14616,14616.0,1.0,0
2022-07-04,R01,12,14616,13498.0,0.924,0
2022-07-05,R01,12,14616,14259.0,0.976,0
2022-07-06,R01,12,14616,14616.0,1.0,0
2022-07-07,R01,12,14616,14616.0,1.0,0
2022-07-08,R01,12,14616,14616.0,1.0,0
2022-07-09,R01,12,14616,14616.0,1.0,0
2022-07-10,R01,12,14616,14616.0,1.0,0
2022-07-11,R01,12,14616,14616.0,1.0,0
2022-07-12,R01,12,14616,14616.0,1.0,0
2022-07-13,R01,12,14616,12900.0,0.883,0
2022-07-14,R01,12,14616,14584.0,0.998,0
2022-07-15,R01,12,14616,14616.0,1.0,0
2022-07-16,R01,12,14616,14616.0,1.0,0
2022-07-17,R01,12,14616,14616.0,1.0,0
2022-07-18,R01,12,14616,14616.0,1.0,0
2022-07-19,R01,12,14616,13365.0,0.914,0
2022-07-20,R01,12,14616,13226.0,0.905,0
2022-07-21,R01,12,14616,,,0
2022-07-22,R01,12,14616,13805.0,0.945,0
2022-07-23,R01,12,14616,14348.0,0.982,0
2022-07-24,R01,12,14616,14616.0,1.0,0
2022-07-25,R01,12,14616,,,0
2022-07-26,R01,12,14616,13559.0,0.928,0
2022-07-27,R01,12,14616,14616.0,1.0,0
2022-07-28,R01,12,14616,12659.0,0.866,0
2022-07-29,R01,12,14616,14616.0,1.0,0
2022-07-30,R01,12,14616,11768.0,0.805,0
2022-07-31,R01,12,14616,14616.0,1.0,0
2022-08-01,R01,12,14616,12351.0,0.845,0
2022-08-02,R01,12,14616,14616.0,1.0,0
2022-08-03,R01,12,14616,13811.0,0.945,0
2022-08-04,R01,12,14616,11541.0,0.79,0
2022-08-05,R01,12,14616,14616.0,1.0,0
2022-08-06,R01,12,14616,14616.0,1.0,0
2022-08-07,R01,12,14616,14616.0,1.0,0
2022-08-08,R01,12,14616,13470.0,0.922,0
2022-08-09,R01,12,14616,,,0
2022-08-10,R01,12,14616,14559.0,0.996,0
2022-08-11,R01,12,14616,13068.0,0.894,0
2022-08-12,R01,12,14616,14616.0,1.0,0
2022-08-13,R01,12,14616,14616.0,1.0,0
2022-08-14,R01,12,14616,14616.0,1.0,0
2022-08-15,R01,12,14616,14616.0,1.0,0
2022-08-16,R01,12,14616,13360.0,0.914,0
2022-08-17,R01,12,14616,12597.0,0.862,0
2022-08-18,R01,12,14616,14491.0,0.991,0
2022-08-19,R01,12,14616,14616.0,1.0,0
2022-08-20,R01,12,14616,14616.0,1.0,0
2022-08-21,R01,12,14616,14616.0,1.0,0
2022-08-22,R01,12,14616,12823.0,0.877,0
2022-08-23,R01,12,14616,12092.0,0.827,0
2022-08-24,R01,12,14616,13140.0,0.899,0
2022-08-25,R01,12,14616,14127.0,0.967,0
2022-08-26,R01,12,14616,14616.0,1.0,0
2022-08-27,R01,12,14616,14616.0,1.0,0
2022-08-28,R01,12,14616,14616.0,1.0,0
2022-08-29,R01,12,14616,10841.0,0.742,0
