date,region,rainfall_mm
2022-06-01,Jakarta,3.7
2022-06-02,Jakarta,6.5
2022-06-03,Jakarta,3.8
2022-06-04,Jakarta,4.5
2022-06-05,Jakarta,1.5
2022-06-06,Jakarta,0.0
2022-06-07,Jakarta,2.6
2022-06-08,Jakarta,0.0
2022-06-09,Jakarta,2.3
2022-06-10,Jakarta,0.0
2022-06-11,Jakarta,5.5
2022-06-12,Jakarta,9.1
2022-06-13,Jakarta,5.5
2022-06-14,Jakarta,4.6
2022-06-15,Jakarta,12.7
2022-06-16,Jakarta,9.9
2022-06-17,Jakarta,0.0
2022-06-18,Jakarta,0.0
2022-06-19,Jakarta,0.0
2022-06-20,Jakarta,0.0
2022-06-21,Jakarta,0.0
2022-06-22,Jakarta,4.5
2022-06-23,Jakarta,4.8
2022-06-24,Jakarta,8.6
2022-06-25,Jakarta,2.5
2022-06-26,Jakarta,0.2
2022-06-27,Jakarta,9.2
2022-06-28,Jakarta,7.0
2022-06-29,Jakarta,8.4
2022-06-30,Jakarta,0.0
2022-07-01,Jakarta,0.0
2022-07-02,Jakarta,0.0
2022-07-03,Jakarta,6.6
2022-07-04,Jakarta,0.0
2022-07-05,Jakarta,0.8
2022-07-06,Jakarta,0.0
2022-07-07,Jakarta,0.0
2022-07-08,Jakarta,2.1
2022-07-09,Jakarta,3.8
2022-07-10,Jakarta,2.9
2022-07-11,Jakarta,4.2
2022-07-12,Jakarta,0.0
2022-07-13,Jakarta,2.1
2022-07-14,Jakarta,0.0
2022-07-15,Jakarta,0.0
2022-07-16,Jakarta,0.0
2022-07-17,Jakarta,0.0
2022-07-18,Jakarta,0.0
2022-07-19,Jakarta,0.3
2022-07-20,Jakarta,0.0
2022-07-21,Jakarta,7.8
2022-07-22,Jakarta,4.7
2022-07-23,Jakarta,4.3
2022-07-24,Jakarta,0.3
2022-07-25,Jakarta,0.0
2022-07-26,Jakarta,0.0
2022-07-27,Jakarta,5.5
2022-07-28,Jakarta,3.2
2022-07-29,Jakarta,6.5
2022-07-30,Jakarta,0.0
2022-07-31,Jakarta,1.8
2022-08-01,Jakarta,7.8
2022-08-02,Jakarta,0.0
2022-08-03,Jakarta,5.7
2022-08-04,Jakarta,5.2
2022-08-05,Jakarta,0.0
2022-08-06,Jakarta,0.0
2022-08-07,Jakarta,0.0
2022-08-08,Jakarta,0.0
2022-08-09,Jakarta,0.0
2022-08-10,Jakarta,0.0
2022-08-11,Jakarta,0.2
2022-08-12,Jakarta,3.5
2022-08-13,Jakarta,0.0
2022-08-14,Jakarta,5.1
2022-08-15,Jakarta,3.7
2022-08-16,Jakarta,0.0
2022-08-17,Jakarta,0.0
2022-08-18,Jakarta,0.0
2022-08-19,Jakarta,0.0
2022-08-20,Jakarta,0.0
2022-08-21,Jakarta,5.7
2022-08-22,Jakarta,0.0
2022-08-23,Jakarta,6.7
2022-08-24,Jakarta,0.0
2022-08-25,Jakarta,0.0
2022-08-26,Jakarta,6.8
2022-08-27,Jakarta,1.7
2022-08-28,Jakarta,0.0
2022-08-29,Jakarta,0.0
2022-08-30,Jakarta,0.0
2022-08-31,Jakarta,0.0
2022-09-01,Jakarta,4.8
2022-09-02,Jakarta,4.8
2022-09-03,Jakarta,3.1
2022-09-04,Jakarta,4.1
2022-09-05,Jakarta,0.0
2022-09-06,Jakarta,1.5
2022-09-07,Jakarta,0.0
2022-09-08,Jakarta,8.8
2022-09-09,Jakarta,0.0
2022-09-10,Jakarta,8.8
2022-09-11,Jakarta,4.5
2022-09-12,Jakarta,3.3
2022-09-13,Jakarta,0.0
2022-09-14,Jakarta,0.0
2022-09-15,Jakarta,4.0
2022-09-16,Jakarta,0.0
2022-09-17,Jakarta,9.6
2022-09-18,Jakarta,11.2
2022-09-19,Jakarta,7.1
2022-09-20,Jakarta,0.0
2022-09-21,Jakarta,6.5
2022-09-22,Jakarta,0.0
2022-09-23,Jakarta,3.3
2022-09-24,Jakarta,0.0
2022-09-25,Jakarta,0.0
2022-09-26,Jakarta,0.0
2022-09-27,Jakarta,5.5
2022-09-28,Jakarta,11.6
2022-09-29,Jakarta,13.1
2022-09-30,Jakarta,8.5
2022-10-01,Jakarta,0.0
2022-10-02,Jakarta,0.0
2022-10-03,Jakarta,7.0
2022-10-04,Jakarta,6.3
2022-10-05,Jakarta,7.3
2022-10-06,Jakarta,6.7
2022-10-07,Jakarta,0.0
2022-10-08,Jakarta,3.8
2022-10-09,Jakarta,9.2
2022-10-10,Jakarta,10.8
2022-10-11,Jakarta,0.0
2022-10-12,Jakarta,14.4
2022-10-13,Jakarta,9.5
2022-10-14,Jakarta,7.3
2022-10-15,Jakarta,0.0
2022-10-16,Jakarta,4.4
2022-10-17,Jakarta,6.7
2022-10-18,Jakarta,14.8
2022-10-19,Jakarta,9.1
2022-10-20,Jakarta,0.0
2022-10-21,Jakarta,0.0
2022-10-22,Jakarta,0.0
2022-10-23,Jakarta,0.0
2022-10-24,Jakarta,5.5
2022-10-25,Jakarta,4.4
2022-10-26,Jakarta,4.7
2022-10-27,Jakarta,6.1
2022-10-28,Jakarta,7.8
2022-10-29,Jakarta,8.6
2022-10-30,Jakarta,0.0
2022-10-31,Jakarta,3.8
2022-11-01,Jakarta,0.0
2022-11-02,Jakarta,0.0
2022-11-03,Jakarta,0.0
2022-11-04,Jakarta,7.4
2022-11-05,Jakarta,0.0
2022-11-06,Jakarta,0.0
2022-11-07,Jakarta,4.3
2022-11-08,Jakarta,0.0
2022-11-09,Jakarta,0.0
2022-11-10,Jakarta,0.0
2022-11-11,Jakarta,14.6
2022-11-12,Jakarta,9.0
2022-11-13,Jakarta,0.0
2022-11-14,Jakarta,1.4
2022-11-15,Jakarta,3.4
2022-11-16,Jakarta,0.0
2022-11-17,Jakarta,5.3
