date,sea_area,wind_speed_knots,wave_height_m
01/06/2022,Laut Jawa Barat,15.1,1.42
02/06/2022,Laut Jawa Barat,17.7,1.54
03/06/2022,Laut Jawa Barat,18.5,1.41
04/06/2022,Laut Jawa Barat,14.9,0.99
05/06/2022,Laut Jawa Barat,11.5,0.99
06/06/2022,Laut Jawa Barat,12.0,1.63
07/06/2022,Laut Jawa Barat,13.9,1.37
08/06/2022,Laut Jawa Barat,14.5,1.65
09/06/2022,Laut Jawa Barat,17.6,1.24
10/06/2022,Laut Jawa Barat,17.6,1.3
11/06/2022,Laut Jawa Barat,17.4,0.98
12/06/2022,Laut Jawa Barat,14.4,1.08
13/06/2022,Laut Jawa Barat,11.6,0.89
14/06/2022,Laut Jawa Barat,14.9,0.33
15/06/2022,Laut Jawa Barat,14.2,0.41
16/06/2022,Laut Jawa Barat,15.3,0.91
17/06/2022,Laut Jawa Barat,11.7,0.71
18/06/2022,Laut Jawa Barat,11.0,0.61
19/06/2022,Laut Jawa Barat,8.8,0.57
20/06/2022,Laut Jawa Barat,8.3,0.53
21/06/2022,Laut Jawa Barat,11.3,0.95
22/06/2022,Laut Jawa Barat,8.6,1.02
23/06/2022,Laut Jawa Barat,8.6,0.92
24/06/2022,Laut Jawa Barat,10.0,0.54
25/06/2022,Laut Jawa Barat,9.3,1.17
26/06/2022,Laut Jawa Barat,9.7,1.06
27/06/2022,Laut Jawa Barat,10.0,0.92
28/06/2022,Laut Jawa Barat,11.5,0.5
29/06/2022,Laut Jawa Barat,10.8,0.84
30/06/2022,Laut Jawa Barat,11.7,0.95
01/07/2022,Laut Jawa Barat,12.0,0.96
02/07/2022,Laut Jawa Barat,12.8,0.4
03/07/2022,Laut Jawa Barat,13.1,0.2
04/07/2022,Laut Jawa Barat,16.1,0.2
05/07/2022,Laut Jawa Barat,13.5,1.18
06/07/2022,Laut Jawa Barat,15.5,1.08
07/07/2022,Laut Jawa Barat,13.6,1.32
08/07/2022,Laut Jawa Barat,11.2,1.89
09/07/2022,Laut Jawa Barat,13.9,2.13
10/07/2022,Laut Jawa Barat,12.4,1.88
11/07/2022,Laut Jawa Barat,11.5,1.0
12/07/2022,Laut Jawa Barat,8.9,1.09
13/07/2022,Laut Jawa Barat,5.6,1.31
14/07/2022,Laut Jawa Barat,8.8,1.37
15/07/2022,Laut Jawa Barat,7.4,1.1
16/07/2022,Laut Jawa Barat,10.4,0.61
17/07/2022,Laut Jawa Barat,14.5,0.93
18/07/2022,Laut Jawa Barat,13.6,1.35
19/07/2022,Laut Jawa Barat,10.8,1.25
20/07/2022,Laut Jawa Barat,12.0,1.11
21/07/2022,Laut Jawa Barat,13.5,1.2
22/07/2022,Laut Jawa Barat,12.5,0.66
23/07/2022,Laut Jawa Barat,12.4,0.53
24/07/2022,Laut Jawa Barat,15.0,0.63
25/07/2022,Laut Jawa Barat,16.6,0.25
26/07/2022,Laut Jawa Barat,16.7,0.71
27/07/2022,Laut Jawa Barat,13.6,0.81
28/07/2022,Laut Jawa Barat,13.0,1.1
29/07/2022,Laut Jawa Barat,14.0,0.56
30/07/2022,Laut Jawa Barat,13.0,0.79
31/07/2022,Laut Jawa Barat,11.5,0.53
01/08/2022,Laut Jawa Barat,10.2,0.78
02/08/2022,Laut Jawa Barat,9.5,0.5
03/08/2022,Laut Jawa Barat,9.0,0.75
04/08/2022,Laut Jawa Barat,9.0,1.68
05/08/2022,Laut Jawa Barat,12.3,1.23
06/08/2022,Laut Jawa Barat,10.7,1.3
07/08/2022,Laut Jawa Barat,12.9,1.38
08/08/2022,Laut Jawa Barat,13.6,1.68
09/08/2022,Laut Jawa Barat,13.5,1.78
10/08/2022,Laut Jawa Barat,11.5,1.87
11/08/2022,Laut Jawa Barat,10.9,1.19
12/08/2022,Laut Jawa Barat,15.3,1.0
13/08/2022,Laut Jawa Barat,14.6,0.56
14/08/2022,Laut Jawa Barat,15.1,0.35
15/08/2022,Laut Jawa Barat,15.6,1.04
16/08/2022,Laut Jawa Barat,16.8,1.0
17/08/2022,Laut Jawa Barat,15.1,0.63
18/08/2022,Laut Jawa Barat,13.1,0.67
19/08/2022,Laut Jawa Barat,12.8,1.17
20/08/2022,Laut Jawa Barat,12.3,0.87
21/08/2022,Laut Jawa Barat,14.0,0.84
22/08/2022,Laut Jawa Barat,14.0,0.62
23/08/2022,Laut Jawa Barat,14.1,0.45
24/08/2022,Laut Jawa Barat,14.0,0.82
25/08/2022,Laut Jawa Barat,16.1,1.39
26/08/2022,Laut Jawa Barat,14.1,1.11
27/08/2022,Laut Jawa Barat,12.8,1.72
28/08/2022,Laut Jawa Barat,14.6,1.29
29/08/2022,Laut Jawa Barat,13.9,1.95
30/08/2022,Laut Jawa Barat,14.4,1.84
31/08/2022,Laut Jawa Barat,12.6,2.37
01/09/2022,Laut Jawa Barat,12.8,1.7
02/09/2022,Laut Jawa Barat,13.8,1.89
03/09/2022,Laut Jawa Barat,11.0,2.06
04/09/2022,Laut Jawa Barat,10.3,1.52
05/09/2022,Laut Jawa Barat,12.0,1.08
06/09/2022,Laut Jawa Barat,16.9,1.09
07/09/2022,Laut Jawa Barat,16.8,0.9
08/09/2022,Laut Jawa Barat,15.7,1.4
09/09/2022,Laut Jawa Barat,13.4,1.21
10/09/2022,Laut Jawa Barat,14.2,1.19
11/09/2022,Laut Jawa Barat,9.0,1.27
12/09/2022,Laut Jawa Barat,10.3,1.95
13/09/2022,Laut Jawa Barat,10.7,2.18
14/09/2022,Laut Jawa Barat,10.6,2.26
15/09/2022,Laut Jawa Barat,16.2,2.05
16/09/2022,Laut Jawa Barat,10.6,2.02
17/09/2022,Laut Jawa Barat,11.5,1.18
18/09/2022,Laut Jawa Barat,12.4,1.2
19/09/2022,Laut Jawa Barat,13.9,0.91
20/09/2022,Laut Jawa Barat,10.7,1.1
21/09/2022,Laut Jawa Barat,10.8,1.19
22/09/2022,Laut Jawa Barat,8.9,1.07
23/09/2022,Laut Jawa Barat,10.2,1.23
24/09/2022,Laut Jawa Barat,11.9,1.38
25/09/2022,Laut Jawa Barat,13.0,1.04
26/09/2022,Laut Jawa Barat,13.0,1.44
27/09/2022,Laut Jawa Barat,13.8,1.62
28/09/2022,Laut Jawa Barat,14.4,1.56
29/09/2022,Laut Jawa Barat,15.3,1.72
30/09/2022,Laut Jawa Barat,15.2,2.14
01/10/2022,Laut Jawa Barat,11.5,2.41
02/10/2022,Laut Jawa Barat,10.8,2.53
03/10/2022,Laut Jawa Barat,12.7,2.38
04/10/2022,Laut Jawa Barat,11.6,2.99
05/10/2022,Laut Jawa Barat,11.0,3.24
06/10/2022,Laut Jawa Barat,12.4,2.13
07/10/2022,Laut Jawa Barat,13.2,2.31
08/10/2022,Laut Jawa Barat,15.6,1.39
09/10/2022,Laut Jawa Barat,16.5,1.85
10/10/2022,Laut Jawa Barat,15.3,2.19
11/10/2022,Laut Jawa Barat,15.5,2.12
12/10/2022,Laut Jawa Barat,9.8,2.03
13/10/2022,Laut Jawa Barat,9.9,2.15
14/10/2022,Laut Jawa Barat,11.3,2.33
15/10/2022,Laut Jawa Barat,7.8,2.28
16/10/2022,Laut Jawa Barat,9.5,1.66
17/10/2022,Laut Jawa Barat,11.9,1.52
18/10/2022,Laut Jawa Barat,15.1,2.0
19/10/2022,Laut Jawa Barat,16.1,2.03
20/10/2022,Laut Jawa Barat,19.8,2.02
21/10/2022,Laut Jawa Barat,21.7,2.46
22/10/2022,Laut Jawa Barat,16.7,2.23
23/10/2022,Laut Jawa Barat,16.1,1.83
24/10/2022,Laut Jawa Barat,15.8,1.52
25/10/2022,Laut Jawa Barat,16.1,2.23
26/10/2022,Laut Jawa Barat,15.0,1.96
27/10/2022,Laut Jawa Barat,16.6,2.47
28/10/2022,Laut Jawa Barat,18.0,2.39
29/10/2022,Laut Jawa Barat,14.5,2.22
30/10/2022,Laut Jawa Barat,17.0,2.35
31/10/2022,Laut Jawa Barat,15.6,2.16
01/11/2022,Laut Jawa Barat,18.0,1.76
02/11/2022,Laut Jawa Barat,18.7,2.13
03/11/2022,Laut Jawa Barat,17.9,2.39
04/11/2022,Laut Jawa Barat,21.5,2.08
05/11/2022,Laut Jawa Barat,21.9,1.81
06/11/2022,Laut Jawa Barat,20.4,2.67
07/11/2022,Laut Jawa Barat,19.9,2.63
08/11/2022,Laut Jawa Barat,23.9,2.8
09/11/2022,Laut Jawa Barat,24.6,2.34
10/11/2022,Laut Jawa Barat,24.3,1.98
11/11/2022,Laut Jawa Barat,22.6,2.68
12/11/2022,Laut Jawa Barat,22.1,2.11
13/11/2022,Laut Jawa Barat,20.9,1.6
14/11/2022,Laut Jawa Barat,16.8,2.0
15/11/2022,Laut Jawa Barat,18.7,2.01
16/11/2022,Laut Jawa Barat,19.2,1.74
17/11/2022,Laut Jawa Barat,16.0,1.51
18/11/2022,Laut Jawa Barat,15.1,1.83
19/11/2022,Laut Jawa Barat,15.4,2.02
20/11/2022,Laut Jawa Barat,16.7,2.05
21/11/2022,Laut Jawa Barat,20.4,1.89
22/11/2022,Laut Jawa Barat,19.7,2.48
23/11/2022,Laut Jawa Barat,15.2,1.83
24/11/2022,Laut Jawa Barat,17.3,2.35
25/11/2022,Laut Jawa Barat,17.1,3.3
26/11/2022,Laut Jawa Barat,13.9,2.92
27/11/2022,Laut Jawa Barat,10.5,2.94
28/11/2022,Laut Jawa Barat,10.6,2.38
29/11/2022,Laut Jawa Barat,13.6,2.13
30/11/2022,Laut Jawa Barat,13.4,3.01
01/12/2022,Laut Jawa Barat,16.0,3.06
02/12/2022,Laut Jawa Barat,16.1,3.3
03/12/2022,Laut Jawa Barat,17.1,3.39
04/12/2022,Laut Jawa Barat,18.8,2.48
05/12/2022,Laut Jawa Barat,19.8,1.87
06/12/2022,Laut Jawa Barat,17.3,1.81
07/12/2022,Laut Jawa Barat,21.4,2.25
08/12/2022,Laut Jawa Barat,16.6,1.71
09/12/2022,Laut Jawa Barat,16.7,2.15
10/12/2022,Laut Jawa Barat,15.2,2.24
11/12/2022,Laut Jawa Barat,18.6,2.84
12/12/2022,Laut Jawa Barat,15.9,2.62
13/12/2022,Laut Jawa Barat,14.6,2.34
14/12/2022,Laut Jawa Barat,13.5,2.2
15/12/2022,Laut Jawa Barat,12.3,2.13
16/12/2022,Laut Jawa Barat,13.0,1.96
17/12/2022,Laut Jawa Barat,15.1,1.7
18/12/2022,Laut Jawa Barat,14.2,2.03
19/12/2022,Laut Jawa Barat,12.2,3.02
20/12/2022,Laut Jawa Barat,13.6,3.06
21/12/2022,Laut Jawa Barat,15.0,3.46
22/12/2022,Laut Jawa Barat,17.5,2.83
23/12/2022,Laut Jawa Barat,16.3,3.1
24/12/2022,Laut Jawa Barat,16.6,3.05
25/12/2022,Laut Jawa Barat,19.1,3.26
26/12/2022,Laut Jawa Barat,17.0,3.21
27/12/2022,Laut Jawa Barat,17.3,2.78
28/12/2022,Laut Jawa Barat,17.0,2.42
29/12/2022,Laut Jawa Barat,14.7,2.6
30/12/2022,Laut Jawa Barat,15.7,2.42
31/12/2022,Laut Jawa Barat,18.9,2.75
01/01/2023,Laut Jawa Barat,23.4,2.45
02/01/2023,Laut Jawa Barat,19.1,2.47
03/01/2023,Laut Jawa Barat,20.9,2.67
04/01/2023,Laut Jawa Barat,22.5,2.74
05/01/2023,Laut Jawa Barat,23.9,2.8
06/01/2023,Laut Jawa Barat,21.5,2.83
07/01/2023,Laut Jawa Barat,21.4,2.12
08/01/2023,Laut Jawa Barat,19.4,1.43
09/01/2023,Laut Jawa Barat,20.4,2.17
10/01/2023,Laut Jawa Barat,22.4,2.78
11/01/2023,Laut Jawa Barat,20.8,3.01
12/01/2023,Laut Jawa Barat,20.7,3.24
13/01/2023,Laut Jawa Barat,21.9,2.94
